"asiasanat","ilmestymispäivä","käytön päättyminen","nimellisarvo","merkin nimi","merkin väri","painopaikka","painosmäärä","taiteilija","valuutta","kuvan_url"
"taiteilija kuvataide taidemaalari professori maisema Talvipäivä Pekka Halonen taide maalaustaide","23.09.1965","31.12.2011","0,35","Pekka Halosen syntymästä 100 vuotta","","Suomen Pankin Setelipaino","2000000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0626.jpg"
"yhteistyö cept kansainvälinen järjestö yhteisjulkaisu Europa","27.09.1965","31.12.2011","0,40","Europa-Cept","","Suomen Pankin Setelipaino","3000000","Haerdur Karlsson,  Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0627.jpg"
"punainen risti ensiapu pelastustoiminta elvytys onnettomuus liikenneonnettomuus tie sairaanhoito tapaturma avustus lisämaksu avustustoiminta","07.05.1966","31.12.2011","0,15","Ensiapu","","Suomen Pankin Setelipaino","600000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0628.jpg"
"punainen risti ensiapu pelastustoiminta sukellus avustus onnettomuus lisämaksu avustustoiminta","07.05.1966","31.12.2011","0,25","Ensiapu","","Suomen Pankin Setelipaino","600000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0629.jpg"
"punainen risti ensiapu pelastustoiminta Alouette II helikopteri Kainuu rajavartiosto sairaankuljetus lentokuljetus ilmailu avustus lisämaksu avustustoiminta","07.05.1966","31.12.2011","0,35","Ensiapu","","Suomen Pankin Setelipaino","600000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0630.jpg"
"opetus kansakouluasetus Uno Cygnaeus koulu valtionhallinto opetustoimi kouluopetus","11.05.1966","31.12.2011","0,35","Kansakouluasetuksen 100-vuotisjuhla","","Suomen Pankin Setelipaino","3000000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0631.jpg"
"posti postimerkkinäyttely nordia messuhalli Helsinki filatelia postitoimisto postitorvi virkapuku interiööri harrastus","11.06.1966","31.12.2011","0,35","Postimerkkinäyttely NORDIA","","Suomen Pankin Setelipaino","250000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0632.jpg"
"YK yhdistyneet kansakunnat kasvatus tiede kulttuurijärjestö järjestö Pariisi maapallo kansainvälinen Unesco","09.10.1966","31.12.2011","0,40","UNESCO 20 vuotta","","Suomen Pankin Setelipaino","3000000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0633.jpg"
"poliisi miekka vaakuna leijona ase valtionhallinto","15.10.1966","31.12.2011","0,35","Valtakunnallinen poliisi 150 vuotta","","Suomen Pankin Setelipaino","3000000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0634.jpg"
"palovakuutus Kalervo Kallio hannunvaakuna mitali vakuutustoiminta","28.10.1966","31.12.2011","0,35","Vakuutustoiminta 150 vuotta","","Suomen Pankin Setelipaino","3000000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0635.jpg"
"YK yhdistyneet kansakunnat  Unicef lastenapu rahasto Nobelin palkinto kansainvälinen avustusjärjestö","14.11.1966","31.12.2011","0,15","UNICEF 20 vuotta","","Suomen Pankin Setelipaino","9998000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0636.jpg"
"vaakuna leijona  1963","02.01.1967","31.12.2011","0,40","Malli 1963 Leijona","sininen","Suomen Pankin Setelipaino","132500000","Signe Hammarsten Jansson","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0637.jpg"
"EFTA Euroopan vapaakauppaliitto kansainvälinen järjestö kauppa Eurooppa ","15.02.1967","31.12.2011","0,40","EFTA","sininen","Suomen Pankin Setelipaino","2998000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0638.jpg"
"kaupunki mylly jauhaminen rakennus maatalous Uusikaupunki","19.04.1967","31.12.2011","0,40","Uusikaupunki 350 vuotta","","Suomen Pankin Setelipaino","2998000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0639.jpg"
"linna Kyrönsalmi bastioni linnoitus maanpuolustus rakennus keskiaika Olavinlinna Savonlinna  1963","22.04.1967","31.12.2011","0,65","Malli 1963 Olavinlinna","lila","Suomen Pankin Setelipaino","21000000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0640.jpg"
"Punkaharju luonto maisema matkailu turismi Kuikonniemi järvi  harju 1963","22.04.1967","31.12.2011","2,50","Malli 1963 Punkaharju","","Suomen Pankin Setelipaino","9000000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0641.jpg"
"tuberkuloosi yhdistys puu kasvi koivu rauduskoivu betula verrucosa luonto avustus lisämaksu avustustoiminta","12.05.1967","31.12.2011","0,20","Puulajeja - Koivu","","Suomen Pankin Setelipaino","600000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0642.jpg"
"tuberkuloosi yhdistys puu kasvi mänty pinus silvestris luonto avustus lisämaksu avustustoiminta","12.05.1967","31.12.2011","0,25","Puulajeja - Mänty","","Suomen Pankin Setelipaino","600000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0643.jpg"
"tuberkuloosi yhdistys puu kasvi kuusi picea excelsa luonto avustus lisämaksu avustustoiminta","12.05.1967","31.12.2011","0,40","Puulajeja - Kuusi","","Suomen Pankin Setelipaino","600000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0644.jpg"
"marsalkka vapaaherra  Carl Gustaf Emil Mannerheim Aimo muistomerkki Tukiainen ratsastajapatsas presidentti asepuku ratsastus ratsu hevonen kuvanveisto patsas sotilas valtionpäämies puolustusvoimat","04.06.1967","31.12.2011","0,40","Suomen marsalkka C.G.E. Mannerheimin syntymästä 100 vuotta","","Suomen Pankin Setelipaino","5998000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0645.jpg"
"uudisraivaus Ruotsi maastamuutto emigrantti hirsi siirtolaisuus maahanmuutto rakentaminen yhteisjulkaisu","16.06.1967","31.12.2011","0,40","Ruotsin suomalaisraivaajat","","Suomen Pankin Setelipaino","5998000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0646.jpg"
"metsäteollisuus teollisuus teollisuus Thomasböle Pohja tehdas  vesileima paperiteollisuus","06.09.1967","31.12.2011","0,40","Suomen Paperiteollisuus 300 vuotta","","Suomen Pankin Setelipaino","2998000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0647.jpg"
"Luther Martin teologi uskonpuhdistus uskonto Cranach Lucas maalaustaide taide muotokuva kirkko papisto pappi","04.11.1967","31.12.2011","0,40","Uskonpuhdistus 450 vuotta","","Suomen Pankin Setelipaino","2998000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0648.jpg"
"sairaanhoito avustustoiminta hevonen ambulanssi kärryt  sota ajoneuvo avustusjärjestö punainen risti sairaankuljetus kuljetus lisämaksu avustustoiminta","24.11.1967","31.12.2011","0,20","Suomen Punainen Risti 90 vuotta - Hevosambulanssi","","Suomen Pankin Setelipaino","800000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0649.jpg"
"auto sairaanhoito avustustoiminta hevonen ambulanssi kärryt  sota ajoneuvo avustusjärjestö punainen risti sairaankuljetus kuljetus lisämaksu avustustoiminta","24.11.1967","31.12.2011","0,25","Suomen Punainen Risti 90 vuotta - Ambulanssiauto","","Suomen Pankin Setelipaino","800000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0650.jpg"
"sairaanhoito avustustoiminta Geneve avustusjärjestö punainen risti lisämaksu avustustoiminta","24.11.1967","31.12.2011","0,40","Suomen Punainen Risti 90 vuotta","","Suomen Pankin Setelipaino","800000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0651.jpg"
"itsenäisyys puro juhlavuosi Suomen lippu juhlavuosi","05.12.1967","31.12.2011","0,20","Itsenäinen Suomi 50 vuotta","","Suomen Pankin Setelipaino","9999000","Rolf Christianson","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0652.jpg"
"itsenäisyys lintu juhlavuosi","05.12.1967","31.12.2011","0,25","Itsenäinen Suomi 50 vuotta","","Suomen Pankin Setelipaino","9999000","Rolf Christianson","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0653.jpg"
"Suomen lippu itsenäisyys tähkä juhlavuosi","05.12.1967","31.12.2011","0,40","Itsenäinen Suomi 50 vuotta","","Suomen Pankin Setelipaino","9999000","Rolf Christianson","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0654.jpg"
"vaakuna leijona 1963","08.01.1968","31.12.2011","0,02","Malli 1963 Leijona","vihreä","Suomen Pankin Setelipaino","7900000","Signe Hammarsten Jansson","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0655.jpg"
"kirjailija kirjallisuus  Zacharias Sakari Topelius lintu sininen","14.01.1968","31.12.2011","0,25","Z. Topeliuksen syntymästä 150 vuotta","","Suomen Pankin Setelipaino","2999000","Juha Järveläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0656.jpg"
"tunturi talvimatkailu matkailu turismi tunturi hiihto hissi vapaa-aika lomailu","19.02.1968","31.12.2011","0,25","Talvimatkailu","","Suomen Pankin Setelipaino","3000000","Juha Järveläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0657.jpg"
"metsäteollisuus puunjalostus teollisuus tehdas vesileima Autere reliefi taiteet kuvataide paperiteollisuus taide reliefi veistos kuvanveisto Hannes Autere Tervakoski työ","12.03.1968","31.12.2011","0,45","Tervakosken Paperitehdas 150 vuotta","","Suomen Pankin Setelipaino","2000000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0658.jpg"
"YK yhdistyneet kansakunnat Maailman terveysjärjestö WHO käärme laakeriseppele maapallo kansainvälinen järjestö terveydenhoito","06.04.1968","31.12.2011","0,40","WHO 20 vuotta","","Suomen Pankin Setelipaino","3000000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0659.jpg"
"silta teollisuus rakennus tehdas Tampere Hämeensilta kaupunki  koski 1963","15.04.1968","31.12.2011","0,90","Malli 1963 Tampereen Hämeensilta","","Suomen Pankin Setelipaino","8000000","Juha Järveläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0660.jpg"
"vaakuna leijona 1963","13.05.1968","31.12.2011","0,01","Malli 1963 Leijona","ruskea","Suomen Pankin Setelipaino","3500000","Signe Hammarsten Jansson","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0661.jpg"
"vaakuna leijona 1963","13.05.1968","31.12.2011","0,04","Malli 1963 Leijona","harmaa","Suomen Pankin Setelipaino","2100000","Signe Hammarsten Jansson","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0662.jpg"
"armeija Vaasa jääkäri patsas Lauri Leppänen veistos kuvanveisto jääkäriliitto merkki asepuku ase sotilas puolustusvoimat sankaripatsas taide kuvataide","04.01.1968","31.12.2011","0,20","Puolustuslaitos 50 vuotta - Jääkäripatsas","","Suomen Pankin Setelipaino","10000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0663.jpg"
"armeija sankariristi hautausmaa Hietaniemi sotilas kunniavartio vapaudenmitali mitali ase sotilas puolustusvoimat asepuku kunniamerkki","04.06.1968","31.12.2011","0,25","Puolustuslaitos 50 vuotta - Sankariristi","","Suomen Pankin Setelipaino","10000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0664.jpg"
"armeija sotilas ase puku puolustusvoimat sotilas asepuku ase leijona","04.06.1968","31.12.2011","0,40","Puolustuslaitos 50 vuotta - Sotilas","","Suomen Pankin Setelipaino","10000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0665.jpg"
"turismi kesä matkailu leirintä teltta auto asuntovaunu camping vapaa-aika loma ajoneuvo","10.06.1968","31.12.2011","0,25","Kesämatkailu","","Suomen Pankin Setelipaino","3000000","Juha Järveläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0666.jpg"
"puunjalostus selluloosa paperinvalmistus paperiteollisuus metsäteollisuus ","02.07.1968","31.12.2011","0,40","Puunjalostusteollisuus","","Suomen Pankin Setelipaino","3000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0667.jpg"
"musiikki Oskar Merikanto","05.08.1968","31.12.2011","0,40","Oskar Merikannon syntymästä 100 vuotta","","Suomen Pankin Setelipaino","3000000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0668.jpg"
"laivaliikenne Mustola kanava liikenne Saimaa Suomenlahti","05.08.1968","31.12.2011","0,40","Saimaan kanava","","Suomen Pankin Setelipaino","3000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0669.jpg"
"kauppa elinkeinoelämä Katajanokka Helsinki laivaliikenne Ivalo satama liiketoiminta merenkulku yhdistys keskuskauppakamari kauppakamari","13.09.1968","31.12.2011","0,40","Keskuskauppakamari 50 vuotta","","Suomen Pankin Setelipaino","3000000","Juha Järveläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0670.jpg"
"metallurgia teollisuus hitsaus  työväline metalliteollisuus","11.10.1968","31.12.2011","0,40","Metalliteollisuus","","Suomen Pankin Setelipaino","3000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0671.jpg"
"opiskelu yliopisto ylioppilastutkinto osakunta lyyra solki laakeriseppele yhdistys valtionhallinto opetustoimi korkeakoulu opetus opiskelija koulutus","24.11.1968","31.12.2011","0,40","Ylioppilasosakunnat 100 vuotta","","Suomen Pankin Setelipaino","3000000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0672.jpg"
"järjestö Birka viikinki purjelaiva laivaliikenne merenkulku sopimus  posti  yhteisjulkaisu Pohjola pohjoismainen kansainvälinen järjestö yhteistyö Pohjoismaiden postiliitto","28.02.1969","31.12.2011","0,40","Pohjolan päivä","sininen","Suomen Pankin Setelipaino","5000000","Sven Åke Gustafsson, Ruotsi","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0673.jpg"
"kaupunki satama vaakuna kaupungintalo Kemi","05.03.1969","31.12.2011","0,40","Kemi 100 vuotta","","Suomen Pankin Setelipaino","3000000","Juha Järveläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0674.jpg"
"CEPT kansainvälinen järjestö postihallinto telehallinto yhteistyö yhteisjulkaisu Europa","27.04.1969","31.12.2011","0,40","Europa-Cept","","Suomen Pankin Setelipaino","3000000","Luigi Casbarra, Giorgio Belli, Juha Järveläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0675.jpg"
"luonto tuberkuloosi kasvi puu kataja uniperus communis avustus lisämaksu avustustoiminta","12.05.1969","31.12.2011","0,20","Puulajeja - Kataja","","Suomen Pankin Setelipaino","600000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0676.jpg"
"luonto tuberkuloosi kasvi puu haapa populus tremula avustus lisämaksu avustustoiminta","12.05.1969","31.12.2011","0,25","Puulajeja - Haapa","","Suomen Pankin Setelipaino","600000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0677.jpg"
"luonto tuberkuloosi kasvi puu tuomi prunus padus avustus lisämaksu avustustoiminta","12.05.1969","31.12.2011","0,40","Puulajeja - Tuomi","","Suomen Pankin Setelipaino","600000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0678.jpg"
"ILO kansainliitto YK yhdistyneet kansakunnat Nobelin palkinto maapallo jakoavain työ kansainvälinen työjärjestö","02.06.1969","31.12.2011","0,40","ILO Kansainvälinen työjärjestö 50 vuotta","","Suomen Pankin Setelipaino","3000000","Juha Järveläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0679.jpg"
"säveltaide säveltäjä musiikki professori kapellimestari Vilho Sjöström maalaustaide taide kuvataide Armas Järnefelt muotokuva ","14.08.1969","31.12.2011","0,40","Armas Järnefeltin syntymästä 100 vuotta","","Suomen Pankin Setelipaino","3000000","Juha Järveläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0680.jpg"
"markkinat Suomen lippu messuhalli Helsinki markkinointi kauppa messut","19.09.1969","31.12.2011","0,40","Messutoiminta","","Suomen Pankin Setelipaino","3000000","Henry Tornia","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0681.jpg"
"Peltonen Juho Vihtori  Johannes Linnankoski  kirjailija kirjallisuus kukka ruusu","18.10.1969","31.12.2011","0,40","Johannes Linnankosken syntymästä 100 vuotta","","Suomen Pankin Setelipaino","3000000","Juha Järveläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0682.jpg"
"kouluhallitus hallinto kukka valtionhallinto opetustoimi hallintovirasto opetus kouluopetus","24.11.1969","31.12.2011","0,40","Kouluhallitus 100 vuotta","","Suomen Pankin Setelipaino","3000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0683.jpg"
"lentokone ilmailu lentokenttä DC Finnair Seutula lentoasema Vantaa Helsinki lentoliikenne ilmailu lentokuljetus ","22.12.1969","31.12.2011","0,25","Siviililentoliikenne","","Suomen Pankin Setelipaino","3000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0684.jpg"
"vaakuna leijona 1963","02.01.1970","31.12.2011","0,50","Malli 1963 Leijona","sininen","Suomen Pankin Setelipaino","151650000","Signe Hammarsten Jansson","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0685.jpg"
"maakotka aquila chrysaetos kotka eläin lintu luonto pesä luonnonsuojelu","10.02.1970","31.12.2011","0,30","Luonnonsuojelu -Maakotka","","Suomen Pankin Setelipaino","3000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0686.jpg"
"teollisuus kangas elinkeino lankakerä tekstiiliteollisuus","09.03.1970","31.12.2011","0,50","Tekstiiliteollisuus","","Suomen Pankin Setelipaino","300000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0687.jpg"
"teollisuus tehdas molekyyli Kemira Uusikaupunki kemianteollisuus perusteollisuus","26.03.1970","31.12.2011","0,50","Kemian perusteollisuus","","Suomen Pankin Setelipaino","3000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0688.jpg"
"kulttuurijärjestö valtiomies tiede UNESCO YK yhdistyneet kansakunnat Tampere laakerinlehti kansainvälinen järjestö Lenin symposiumi kokous ","06.04.1970","31.12.2011","0,30","Lenin-symposiumi","","Suomen Pankin Setelipaino","3000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0689.jpg"
"kirkko rakennus arkkitehtuuri uskonto Antti Hakola Johan Thilen renessanssikatto torni  Keuruun ","11.04.1970","31.12.2011","0,80","Malli 1963 Keuruun vanha kirkko","","Suomen Pankin Setelipaino","30000000","Paavo Huovinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0690.jpg"
"punainen risti Aleksis Kivi kirja kirjailija Seitsemän veljestä Akseli Gallen-Kallela kirjallisuus kuvitus kuvataide Hiidenkivellä  lisämaksu avustustoiminta","08.05.1970","31.12.2011","0,25","Aleksis Kiven Seitsemän veljestä, Hiidenkivellä","","Suomen Pankin Setelipaino","1000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0691.jpg"
"punainen risti Aleksis Kivi kirja kirjailija Seitsemän veljestä Akseli Gallen-Kallela kirjallisuus kuvitus kuvataide  Juhani vuorella maisema  lisämaksu avustustoiminta","08.05.1970","31.12.2011","0,30","Aleksis Kivien Seitsemän veljestä, Juhani vuorella","","Suomen Pankin Setelipaino","1000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0692.jpg"
"Kalvea impi punainen risti Aleksis Kivi kirja kirjailija Seitsemän veljestä Akseli Gallen-Kallela kirjallisuus kuvitus kuvataide  lisämaksu avustustoiminta","08.05.1970","31.12.2011","0,50","Aleksis Kiven Seitsemän veljestä, Kalpea impi","","Suomen Pankin Setelipaino","1000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0693.jpg"
"kongressi atomi ydinenergia IAEA YK yhdistyneet kansakunnat ydinvoima energia laakeriseppele Dipoli Espoo ydinfysiikka tiede kansainvälinen fysiikka kokous","15.06.1970","31.12.2011","0,30","IAEA:n konferenssi","","Suomen Pankin Setelipaino","3000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0694.jpg"
"urheilu invalidi liitto sotavammainen lentopallo vammaisuus liikunta istumalentopallo sotaveteraani joukkueurheilu vammaisurheilu","27.06.1970","31.12.2011","0,50","Vammaisurheilu","","Suomen Pankin Setelipaino","3000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0695.jpg"
"lentokone järvi maisema Aero Oy Convair Metropolitan lentoliikenne ilmailu lentokuljetus postinkuljetus liikenne 1963","15.07.1970","31.12.2011","0,57","Malli 1963 Convair","sininen","Suomen Pankin Setelipaino","3000000","Olavi Vepsäläinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0696.jpg"
"Porthan runous taide kirjallisuus historiantutkimus tutkimus valistus Eero Järnefelt maalaustaide kuvataide yhdistys tiede Auroraseura Turku","15.08.1970","31.12.2011","0,50","Auroraseura 200 vuotta","","Suomen Pankin Setelipaino","3000000","Paavo Huovinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0697.jpg"
"kaupunki vaakuna terva kirkko E. Brenner koulu raatihuone Uusikaarlepyy  rakennus arkkitehtuuri","21.08.1970","31.12.2011","0,50","Uusikaarlepyy 350 vuotta","","Suomen Pankin Setelipaino","3000000","Paavo Huovinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0698.jpg"
"valtiomies Urho Kaleva Kekkonen Aimo Tukiainen mitali kuvataide kuvanveisto valtionpäämies presidentti muotokuva","03.09.1970","31.12.2011","0,50","Presidentti Kekkonen 70 vuotta","","Suomen Pankin Setelipaino","5000000","Eeva Oivo","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0699.jpg"
"kaupunki terva Kemira Outokumpu urheiluhalli kaupungintalo O. Gripenberg koulu Renlundin museo vaakuna Kokkola rakennus  vaakuna","07.09.1970","31.12.2011","0,50","Kokkola 350 vuotta","","Suomen Pankin Setelipaino","3000000","Paavo Huovinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0700.jpg"
"YK yhdistyneet kansakunnat turvallisuus yhteistyö maapallo laakeriseppele kansainvälinen järjestö","24.10.1970","31.12.2011","0,50","Yhdistyneet Kansakunnat 25 vuotta","","Suomen Pankin Setelipaino","3000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0701.jpg"
"ase strateginen ydinase Helsinki kartta maapallo rauha kongressi kokous kansainvälinen liennytys SALT neuvottelut Yhdysvallat USA Neuvostoliitto","02.11.1970","31.12.2011","0,50","SALT-neuvottelut","","Suomen Pankin Setelipaino","5000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0702.jpg"
"presidentti Juho Kusti Paasikivi Essi Renvall veistos muotokuva kuvanveisto valtionpäämies valtiomies","27.11.1970","31.12.2011","0,50","Presidentti Paasikiven syntymästä 100 vuotta","","Suomen Pankin Setelipaino","5000000","Eeva Oivo","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0703.jpg"
"teollisuus kauppa ","28.01.1971","31.12.2011","0,50","Teollisuutemme","","Suomen Pankin Setelipaino","3000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0704.jpg"
"metsätyö työ tuberkuloosi puu tukki teollisuus moottorisaha traktori kuljetus metsäteollisuus puuteollisuus työväline avustus lisämaksu avustustoiminta","25.04.1971","31.12.2011","0,25","Metsäteollisuus","","Suomen Pankin Setelipaino","600000","Paavo Huovinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0705.jpg"
"metsätyö työ tuberkuloosi puu tukki teollisuus uitto laiva järvi  metsäteollisuus puuteollisuus avustus lisämaksu avustustoiminta","25.04.1971","31.12.2011","0,30","Metsäteollisuus","","Suomen Pankin Setelipaino","600000","Paavo Huovinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0706.jpg"
"metsätyö työ tuberkuloosi puu tukki teollisuus uitto erottelu järvi rakennus tehdas keksi yöväline metsäteollisuus puuteollisuus avustus lisämaksu avustustoiminta","25.04.1971","31.12.2011","0,50","Metsäteollisuus","","Suomen Pankin Setelipaino","600000","Paavo Huovinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0707.jpg"
"EUROPA järjestö CEPT kansainvälinen yhteistyö","03.05.1971","31.12.2011","0,50","Europa-Cept","","Suomen Pankin Setelipaino","3000000","Helgi Haflidason, Islanti","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0708.jpg"
"kaupunki kirkko tapuli Matti Härmä Tornio kellotapuli rakennus arkkitehtuuri vaakuna uskonto","12.05.1971","31.12.2011","0,50","Tornio 350 vuotta","","Suomen Pankin Setelipaino","3000000","Paavo Huovinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0709.jpg"
"tiedonvälitys viestintä sanomalehti Porthan Auroraseura toimitus lehdistö","01.06.1971","31.12.2011","0,50","Suomen lehdistö 200 vuotta","","Suomen Pankin Setelipaino","3000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0710.jpg"
"näkötorni radio televisio masto tähtitiede Näsinneula Tampere turismi matkailu huvipuisto akvaario planetaario Särkänniemi rakennus ","19.06.1971","31.12.2011","0,30","Malli 1963 Tampereen Näsinneula","","Suomen Pankin Setelipaino","20000000","Pentti Rahikainen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0711.jpg"
"yleisurheilu EM-kisat  urheilukilpailut urheilu Helsinki stadion aitajuoksu juoksu Euroopan mestaruuskisat liikunta kiekonheitto","05.07.1971","31.12.2011","0,30","Yleisurheilun EM-kilpailut ","","Suomen Pankin Setelipaino","2000000","Paavo Huovinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0712.jpg"
